Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.8
"Nutrients: Fluoride, F (µg)"
Food Subset:All Foods
Ordered by:Food Name
Measured by:Household
Report Run at: 03-19-2016T20:59
NDB_NO,Description,Weight(g),Measure,"Fluoride, F"(µg)Per Measure,
"""14006""","Alcoholic beverage, beer, light",29.5,"1.0 fl oz",13.4,,
"""14003""","Alcoholic beverage, beer, regular, all",29.7,"1.0 fl oz",13.1,,
"""14084""","Alcoholic beverage, wine, table, all",148.0,"1.0 serving (5 fl oz)",226.9,,
"""14096""","Alcoholic beverage, wine, table, red",29.4,"1.0 fl oz",30.8,,
"""14602""","Alcoholic Beverage, wine, table, red, Merlot",29.4,"1.0 fl oz",30.8,,
"""14106""","Alcoholic beverage, wine, table, white",29.4,"1.0 fl oz",59.4,,
"""14160""","Alcoholic beverage, wine, table, white, Chardonnay",29.3,"1.0 fl oz",59.2,,
"""09400""","Apple juice, canned or bottled, unsweetened, with added ascorbic acid",248.0,"1.0 cup",97.0,,
"""09003""","Apples, raw, with skin",125.0,"1.0 cup, quartered or chopped",4.1,,
"""09403""","Apricot nectar, canned, with added ascorbic acid",251.0,"1.0 cup",29.9,,
"""09036""","Apricot nectar, canned, without added ascorbic acid",251.0,"1.0 cup",29.9,,
"""11012""","Asparagus, cooked, boiled, drained",90.0,"0.5 cup",19.7,,
"""11705""","Asparagus, cooked, boiled, drained, with salt",90.0,"0.5 cup",19.7,,
"""09037""","Avocados, raw, all commercial varieties",150.0,"1.0 cup, cubes",10.5,,
"""03169""","Babyfood, apple-cranberry juice",31.2,"1.0 fl oz",3.1,,
"""03997""","Babyfood, Baby MUM MUM Rice Biscuits",8.0,"4.0 biscuit",0.0,,
"""03995""","Babyfood, banana with mixed berries, strained",99.0,"1.0 packet",1.5,,
"""03301""","Babyfood, beverage, GERBER GRADUATE FRUIT SPLASHERS",113.0,"4.0 oz",75.4,,
"""03188""","Babyfood, cereal, mixed, with applesauce and bananas, junior",28.35,"1.0 oz",0.3,,
"""03187""","Babyfood, cereal, mixed, with applesauce and bananas, strained",28.35,"1.0 oz",0.3,,
"""03192""","Babyfood, cereal, oatmeal, with applesauce and bananas, junior",28.35,"1.0 oz",2.3,,
